message,role,family,code,n_rows,service_contract_category,rationale
PT100 nacelle temp. defect,warning,auxiliary,4022,1,Warnings (27),
Timeout brake closed,warning,brake_hydraulic,2125,1345,Warnings (27),
Brake accumulator defect,warning,brake_hydraulic,5720,1209,Warnings (27),Hydraulic accumulator of the mechanical brake.
Brake pads worn,warning,brake_hydraulic,2000,57,Warnings (27),
Pressure drop hydraulic sys.,warning,brake_hydraulic,5730,3,Warnings (27),
Comm. failure FPM,warning,comms,8400,1333,Warnings (27),Farm/park-management communication link.
Comm.err. IEC server <- CMS drive tr.,warning,comms,1161,26,Warnings (27),"AMBIGUOUS: the condition-monitoring (CMS) link for the drivetrain. Assigned to `comms` because the message reports the monitoring channel failing, not a drivetrain fault - the conservative reading. Alternative: drivetrain."
Comm.err. IEC client -> CMS drive tr.,warning,comms,1160,26,Warnings (27),As above. Alternative: drivetrain.
No assignment to a PMU,warning,comms,8402,9,Warnings (27),Park-management unit association.
IP duplicate in WF network,warning,comms,8410,2,Warnings (27),Wind-farm network addressing.
CMS drive train system error,warning,comms,1150,1,Warnings (27),As above - the CMS itself errors. Alternative: drivetrain.
Repeating error BP 0,warning,control,440,204,Warnings (27),"AMBIGUOUS. Pairs with the stop message 'Repeating error BP52'; both are assigned to `control` so that they can match each other, and so that a wrong reading of 'BP' does not inject 204 warnings into the large `pitch` family. Alternative: pitch."
Parameter outside limits,warning,control,7016,25,Warnings (27),Controller parameter-set integrity.
Reduced power converter,warning,converter,3220,38,Warnings (27),
PT100 converter inlet temperature defect,warning,converter,3205,25,Warnings (27),
Cable overload,warning,converter,3160,14,Warnings (27),Code 3160 sits in the converter block (3151-3265); read as the converter output cabling. Alternative: electrical.
Converter torque <> setpoint,warning,converter,3265,2,Warnings (27),
Converter power too low,warning,converter,3260,2,Warnings (27),
Overload gear heating,warning,drivetrain,1810,125,Electrical error (24),Service category 'Electrical error (24)' is the failure mode; the component is the gearbox heater.
Particle Gear Alarm 10min,warning,drivetrain,1922,115,Warnings (27),Gearbox oil-debris sensor - the 10-min companion of the 24h stop message.
Oil filter gear choked,warning,drivetrain,1860,72,Warnings (27),
Particle sensor defect,warning,drivetrain,1920,26,Warnings (27),Gearbox oil-debris sensor.
Drivetrain oscillations,warning,drivetrain,1050,23,Warnings (27),
Overload gear bypass filter,warning,drivetrain,1825,19,Warnings (27),
High temp. gear bearing 1,warning,drivetrain,1700,10,Warnings (27),
Reduced power gearbox,warning,drivetrain,75,10,Warnings (27),Gearbox-driven derate.
High temp. gear bearing 2,warning,drivetrain,1710,2,Warnings (27),
PT100 inlet gear defect,warning,drivetrain,1729,2,Warnings (27),
Overload transformer fan outlet air,warning,electrical,3870,27,Warnings (27),
Overload transf. fan inlet air,warning,electrical,3875,15,Warnings (27),
UPS warning,warning,electrical,3400,14,Warnings (27),
Lightning protection defect,warning,electrical,2950,14,Warnings (27),
Reduced power transformer,warning,electrical,77,5,Warnings (27),
Maintenance LV HRC fuse,warning,electrical,3860,1,Warnings (27),LV high-rupture-capacity fuse in the tower-base switchgear.
P output externally reduced,warning,external,9000,2389,Warnings (27),"Named in STUDY_DESIGN as the archetype: an externally commanded set-point, not a fault."
Check time synchronization,warning,external,7324,526,Warnings (27),"AMBIGUOUS but high-volume (526 warnings). Pure housekeeping telemetry (NTP drift) with no fault semantics, so `external` per the STUDY_DESIGN rule. Putting it in `control` would let 526 clock-drift notices match controller stops. Alternative: control."
Icing (dev. electr. power),warning,external,6682,52,External stop (climate) (6),Weather; service category 'External stop (climate) (6)'.
Time sync. failed (SNTP error),warning,external,7325,42,Warnings (27),As above.
Overload generator fan 1,warning,generator,2550,434,Warnings (27),
Overload generator fan 2,warning,generator,2650,309,Warnings (27),
Overload generator fan 3,warning,generator,2655,286,Warnings (27),
Overload generator heating,warning,generator,2674,269,Warnings (27),
High temp. gen. bearing 1,warning,generator,2600,12,Warnings (27),
Battery charge cycle axis 1 error,warning,pitch,716,974,Warnings (27),Pitch back-up batteries.
Battery charge cycle axis 2 error,warning,pitch,717,931,Warnings (27),
Battery charge cycle axis 3 error,warning,pitch,718,931,Warnings (27),
Pitch measuring system 1><2,warning,pitch,675,269,Warnings (27),
Error brake resistor CHP,warning,pitch,785,235,Warnings (27),"AMBIGUOUS and high-volume (235 warnings). 'CHP' = chopper brake resistor. Code 785 sits between the pitch battery block (700-735) and the pitch lubrication pump (850), and the MM82/92 pitch drives have their own braking chopper, so assigned to `pitch`. A converter DC-link chopper reading is equally defensible. Alternatives: converter, brake_hydraulic. FLAGGED for orchestrator review."
Pitch batteries charging cycle,warning,pitch,720,225,Warnings (27),
Limit switch error 95° axis 2,warning,pitch,682,83,Warnings (27),
Timeout B sensor active,warning,pitch,697,77,Warnings (27),Code 697 sits inside the pitch block (650-697); 'B sensor' is the pitch limit sensor.
Limit switch error 95° axis 3,warning,pitch,683,70,Warnings (27),
Limit switch error 95° axis 1,warning,pitch,681,57,Warnings (27),95 deg = feathered blade position.
Error lubrication pump pitch,warning,pitch,850,47,Warnings (27),
Battery monitoring axis 2,warning,pitch,712,8,Warnings (27),
Battery monitoring test interval,warning,pitch,714,5,Warnings (27),
Battery monitoring axis 1,warning,pitch,711,4,Warnings (27),
Battery monitoring axis 3,warning,pitch,713,4,Warnings (27),
Max. acceleration,warning,tower,59,185,Operating states  (28),Nacelle/tower acceleration limit - the warning counterpart of the tower-oscillation stops.
Nat. tower freq. implausible,warning,tower,4502,25,Warnings (27),
High yaw motor current,warning,yaw,6052,1310,Warnings (27),
Easy yaw,warning,yaw,6054,137,Warnings (27),Yaw-control operating mode fault.
Check nacelle position!,warning,yaw,6350,34,Warnings (27),Nacelle position is the yaw system's controlled variable.
4-20mA yaw current sensor,warning,yaw,6432,18,Sensor error (21),
